context_3,context_2,context_1,response
,,Polars? Numba jit? Map-reduse на gpu?,"возможно скажу убертупую вещь, но попробуй перевести просто в листы питоновские и посчитать квантили формулами питоновскими. 

У меня была похожая задача, там пандас писал 20 часов эстимейтед тайм, а питон чистый посчитал за 2 минуты."
,,,"Интересно, а совместимость с CUDA или аналог какой-то есть?"
,,"Интересно, а совместимость с CUDA или аналог какой-то есть?","зачем, под такие вещи свой код пишется"
,,,"1) Лично на мой взгляд, в трудовой деятельности очень много информации, которую рекрутер даже если захочет понять, не поймет. Те же детали про петрографический анализ – скорее человек подумает, что это где-то рядом с Петродворцовым районом. Можно рабочий опыт попытаться обернуть в другую оболочку: ""провел анализ того-то, вследствие чего результат стал лучше на сколько-то процентов"", ""составлял датасеты такого-то объема для дальнейшей работы"" и тому подобные фразы, которые будут значительно ближе к той сфере, где идет поиск работы. 

2) Больше раскрыть проекты. В то же время, когда есть любопытный проект, связанный с оттоком клиентов, про него написано полтора предложения, словно за него стыдно. И никакого кринжа нет в проекте в рамках курса: кринж или не кринж – это уже результат проекта, который зависит от его автора, и если даже кринж, то всегда можно доработать.

Если в общих чертах, после прочтения резюме сложилось впечатление, что вам больше по душе работа с камнями в 1С, чем аналитика. Однако, на гите лежат весьма любопытные проекты, которые однозначно стоило бы раскрывать сильнее, убрав из трудового опыта все лишнее.

Насчет гита: ничего плохого нет в том, чтобы держать историю развития на гите, но код, если самому в глаза бросаются заметные ошибки, переработать имеет смысл. Т.е. чтобы не было стыдно за свою же работу."
,,,"По идее это может сделать стейбл диффужен с reference controlnet 
Не самая надежная штука в обращении, впрочем, больше хватает стиль чем объекты."
,,"По идее это может сделать стейбл диффужен с reference controlnet 
Не самая надежная штука в обращении, впрочем, больше хватает стиль чем объекты.","вот да, видел примеры с стейбл, показалось, что будет очень не надежно восстанавливать объекты"
,"По идее это может сделать стейбл диффужен с reference controlnet 
Не самая надежная штука в обращении, впрочем, больше хватает стиль чем объекты.","вот да, видел примеры с стейбл, показалось, что будет очень не надежно восстанавливать объекты","Смотря как подойти к делу, но вряд ли стоит времени 

мб фотошопная сетка лучше причешет если трансформировать слой с платьем на модель"
"По идее это может сделать стейбл диффужен с reference controlnet 
Не самая надежная штука в обращении, впрочем, больше хватает стиль чем объекты.","вот да, видел примеры с стейбл, показалось, что будет очень не надежно восстанавливать объекты","Смотря как подойти к делу, но вряд ли стоит времени 

мб фотошопная сетка лучше причешет если трансформировать слой с платьем на модель","мне кажется, это в первую очередь вопрос, как сделать инъекцию с переносимым объектом, так чтобы было без диких артефактов, некоторые настоящие решения используют походу CLIP чтобы закодировать картинку типо как текстовое представление и это конечно вызывает сомнение"
"вот да, видел примеры с стейбл, показалось, что будет очень не надежно восстанавливать объекты","Смотря как подойти к делу, но вряд ли стоит времени 

мб фотошопная сетка лучше причешет если трансформировать слой с платьем на модель","мне кажется, это в первую очередь вопрос, как сделать инъекцию с переносимым объектом, так чтобы было без диких артефактов, некоторые настоящие решения используют походу CLIP чтобы закодировать картинку типо как текстовое представление и это конечно вызывает сомнение",Контролнет работает поверх клипа с тем на что научена его разновидность. Референс контролнет подсовывает в латент картинку разжеванную энкодером например.
"Смотря как подойти к делу, но вряд ли стоит времени 

мб фотошопная сетка лучше причешет если трансформировать слой с платьем на модель","мне кажется, это в первую очередь вопрос, как сделать инъекцию с переносимым объектом, так чтобы было без диких артефактов, некоторые настоящие решения используют походу CLIP чтобы закодировать картинку типо как текстовое представление и это конечно вызывает сомнение",Контролнет работает поверх клипа с тем на что научена его разновидность. Референс контролнет подсовывает в латент картинку разжеванную энкодером например.,А можешь че-то посоветовать по этой теме почитать?
"мне кажется, это в первую очередь вопрос, как сделать инъекцию с переносимым объектом, так чтобы было без диких артефактов, некоторые настоящие решения используют походу CLIP чтобы закодировать картинку типо как текстовое представление и это конечно вызывает сомнение",Контролнет работает поверх клипа с тем на что научена его разновидность. Референс контролнет подсовывает в латент картинку разжеванную энкодером например.,А можешь че-то посоветовать по этой теме почитать?,https://github.com/lllyasviel/ControlNet-v1-1-nightly
,,,"Всем привет! 
Задача: классифкация на 277 классов, входной тензор размерности 110*9*11. Решать хочется через свертки, но пока архитектуру адекватную подобрать не удалось.

Посоветуйте, пожалуйста, какую архитектуру сверток можно рассмотреть с нестандартного размером каналов входных данных (110 каналов)? 

Идея с добавлением первого слоя к стандартному бекбону для перевода к трехканальному размеру не подходит, так как теряется много инфомрации."
,,"Всем привет! 
Задача: классифкация на 277 классов, входной тензор размерности 110*9*11. Решать хочется через свертки, но пока архитектуру адекватную подобрать не удалось.

Посоветуйте, пожалуйста, какую архитектуру сверток можно рассмотреть с нестандартного размером каналов входных данных (110 каналов)? 

Идея с добавлением первого слоя к стандартному бекбону для перевода к трехканальному размеру не подходит, так как теряется много инфомрации.","В чем проблема с использованием стандартных моделей для этой задачи (например, efficientnet)? Насколько помню, количество каналов можно задать при инициализации модели. Или на таких маленьких картинках плохо себя показывают?"
,"Всем привет! 
Задача: классифкация на 277 классов, входной тензор размерности 110*9*11. Решать хочется через свертки, но пока архитектуру адекватную подобрать не удалось.

Посоветуйте, пожалуйста, какую архитектуру сверток можно рассмотреть с нестандартного размером каналов входных данных (110 каналов)? 

Идея с добавлением первого слоя к стандартному бекбону для перевода к трехканальному размеру не подходит, так как теряется много инфомрации.","В чем проблема с использованием стандартных моделей для этой задачи (например, efficientnet)? Насколько помню, количество каналов можно задать при инициализации модели. Или на таких маленьких картинках плохо себя показывают?","вот кроме efficientnet в голову ничего и не приходит, но хочется еще через что то прогнать, чтобы сравнить. Да, картинка маленькая, смотрел ресерч по этой задаче, необходимо сохранять входную размерность 9*11 до конца выхода сетки, то есть нужно без пулингов обходиться. 

Буду с efficientnet начинать пробовать, спасибо"
"Всем привет! 
Задача: классифкация на 277 классов, входной тензор размерности 110*9*11. Решать хочется через свертки, но пока архитектуру адекватную подобрать не удалось.

Посоветуйте, пожалуйста, какую архитектуру сверток можно рассмотреть с нестандартного размером каналов входных данных (110 каналов)? 

Идея с добавлением первого слоя к стандартному бекбону для перевода к трехканальному размеру не подходит, так как теряется много инфомрации.","В чем проблема с использованием стандартных моделей для этой задачи (например, efficientnet)? Насколько помню, количество каналов можно задать при инициализации модели. Или на таких маленьких картинках плохо себя показывают?","вот кроме efficientnet в голову ничего и не приходит, но хочется еще через что то прогнать, чтобы сравнить. Да, картинка маленькая, смотрел ресерч по этой задаче, необходимо сохранять входную размерность 9*11 до конца выхода сетки, то есть нужно без пулингов обходиться. 

Буду с efficientnet начинать пробовать, спасибо","Если надо сохранять размер картинки, то можно гуглить на тему моделей с dilated convolution (аля тех что испольщуются в DeepLabV3 и древних nlp моделях на свертках).

А по поводу числа входных каналов, главное, чтобы число выходных каналов первого слоя было не слишком мелким (встречаются модели с 32 и 64 каналами на выходе первого слоя).

Также, я бы посмотрел в сторону Visual Transfomer, учитывая размер изображений. Там и проблем с уменьшением размера не будет (все тупо запихнется в один блок растягиваемый в вектор) и взаимосвязи между каналами будут учитываться сильно лучше. Из минусов: потенциально больший размер модели и необходимость иметь довольно большие датасеты"
"В чем проблема с использованием стандартных моделей для этой задачи (например, efficientnet)? Насколько помню, количество каналов можно задать при инициализации модели. Или на таких маленьких картинках плохо себя показывают?","вот кроме efficientnet в голову ничего и не приходит, но хочется еще через что то прогнать, чтобы сравнить. Да, картинка маленькая, смотрел ресерч по этой задаче, необходимо сохранять входную размерность 9*11 до конца выхода сетки, то есть нужно без пулингов обходиться. 

Буду с efficientnet начинать пробовать, спасибо","Если надо сохранять размер картинки, то можно гуглить на тему моделей с dilated convolution (аля тех что испольщуются в DeepLabV3 и древних nlp моделях на свертках).

А по поводу числа входных каналов, главное, чтобы число выходных каналов первого слоя было не слишком мелким (встречаются модели с 32 и 64 каналами на выходе первого слоя).

Также, я бы посмотрел в сторону Visual Transfomer, учитывая размер изображений. Там и проблем с уменьшением размера не будет (все тупо запихнется в один блок растягиваемый в вектор) и взаимосвязи между каналами будут учитываться сильно лучше. Из минусов: потенциально больший размер модели и необходимость иметь довольно большие датасеты",Спасибо
,,,"Слышал мнение, что это то ли утка, то ли переврали журналисты"
,,"Слышал мнение, что это то ли утка, то ли переврали журналисты","Да, там всё странно
https://t.me/theworldisnoteasy/1744"
,,,"Кажется, что смысла нет. Лучше адаптировать Rocm или вообще сделать бэкенд для PyTorch по аналогии с тем, что сделали для чипов Apple"
,,"Кажется, что смысла нет. Лучше адаптировать Rocm или вообще сделать бэкенд для PyTorch по аналогии с тем, что сделали для чипов Apple",пример — гугловские tpu
,"Кажется, что смысла нет. Лучше адаптировать Rocm или вообще сделать бэкенд для PyTorch по аналогии с тем, что сделали для чипов Apple",пример — гугловские tpu,Спасибо большое за рекомендации!
"Кажется, что смысла нет. Лучше адаптировать Rocm или вообще сделать бэкенд для PyTorch по аналогии с тем, что сделали для чипов Apple",пример — гугловские tpu,Спасибо большое за рекомендации!,кто нибудь уже нашел способы: чтобы использовать chat-gpt без апи? и получить доступ в gpt-4 не падая в лист ожидания?
,,,"А что странного? Из описания видна неправильная функция награды: плюсовали только за успешное попадание, хотя 1.обнаружение, 2.поражение и 3.выполнение задания, т. е. два первых пункта плюс запрос на поражение посередине и следование ответу на запрос можно разделить. Они же, похоже, только за пункт 2 плюшками кормили."
,,"А что странного? Из описания видна неправильная функция награды: плюсовали только за успешное попадание, хотя 1.обнаружение, 2.поражение и 3.выполнение задания, т. е. два первых пункта плюс запрос на поражение посередине и следование ответу на запрос можно разделить. Они же, похоже, только за пункт 2 плюшками кормили.","Я больше про то, как новость разошлась. А так более-менее понятно"
,,,"Роботы всех убьют, в т.ч. хозяев!!! Естественно, такое разлетелось моментально."
,,,"Повторю, может кто-то сможет ответить :)"
,,"Повторю, может кто-то сможет ответить :)","так вы провалидируйтесь на своей задаче и будет понятно 👍
параметры выставлены адекватные (но еще уточните, какой размер трейна на всякий)"
,"Повторю, может кто-то сможет ответить :)","так вы провалидируйтесь на своей задаче и будет понятно 👍
параметры выставлены адекватные (но еще уточните, какой размер трейна на всякий)","Вообще ф1 вырос с 77.1 до 77.7
Размер общий около 520к
Ну трейн на млм значит 650к 
Там тексты правда есть и короткие и длинные но паддинг на 256"
,,,"Звучит как лютая хуйня
Чаще всего у таких систем есть свой чужой"
,,"Звучит как лютая хуйня
Чаще всего у таких систем есть свой чужой","Это же симуляция, а не работающий образец из железа, пластика и кремния."
,,,"Так сам собери свертку, без пулингов, а то что 110 каналов, то какая разница? Свертки не захордкожены под 3 канала"
,,"Так сам собери свертку, без пулингов, а то что 110 каналов, то какая разница? Свертки не захордкожены под 3 канала","сам уже собрал, опирась на здраывй смысл. Но хочется посомтреть какие метрики будут именно на архитектурах, которые проверяны временем, а не то что я сам там придумал.
 
>>>Свертки не захордкожены под 3 канала - Если ты про реализацию стандартных архитектур, то в pytorch они сделаны вроде как под три канала. Или предлагаешь  подправить их? Если второй вариант, то так и собираюсь делать. Только пока непонятно с какой скоростью уменьшать входное количество каналов, обычно же все наоборот - увеличваем количество каналов. Думал есть какие то может архитектуры, где прям из коробки можно менять входное количество слоев"
,"Так сам собери свертку, без пулингов, а то что 110 каналов, то какая разница? Свертки не захордкожены под 3 канала","сам уже собрал, опирась на здраывй смысл. Но хочется посомтреть какие метрики будут именно на архитектурах, которые проверяны временем, а не то что я сам там придумал.
 
>>>Свертки не захордкожены под 3 канала - Если ты про реализацию стандартных архитектур, то в pytorch они сделаны вроде как под три канала. Или предлагаешь  подправить их? Если второй вариант, то так и собираюсь делать. Только пока непонятно с какой скоростью уменьшать входное количество каналов, обычно же все наоборот - увеличваем количество каналов. Думал есть какие то может архитектуры, где прям из коробки можно менять входное количество слоев","nn.Conv2d(in_channels, out_channels, kernel_size)"
,,,"спасибо, попробую)"
,,"спасибо, попробую)","Жена у меня биолог, после новости о том что дрон замочил оператора, говорит, всё, Скайнет? ИИ пороботит человеков?

Говорю нет. 

Во-первых, ИИ - это гуманитарный термин. Интеллект - это обозначение непонимания работы мозга. Пока гуманитарии философствуют, математики занимаются машинным обучением.

Во-вторых. Из сегодняшней истории вывод можно сделать такой. Модель от ситуации + потенциальное действие не штрафовали за ущерб. В оценке инвестиционных проектов, например, финансы, уже сто как подобное просчитывают. А тут просто недодумали... И уже сенсация.

А потом имеем волну этики и прочей эстетики, эротики с моделями на грани физических извращений, лишь бы чего не вышло.

И вот это как бы чего неэтичного не вышло - не то чтобы останавливает прогресс, нет. Душит продукты, но это проблема маркетологов. Как раз матан это развивает - как дополнительные условия в лагранжиане. Как +1 пункт в ТЗ.

Но когда это начнет останавливать матан, это будет беда. Потенциала правда к этому я лично пока не вижу."
,"спасибо, попробую)","Жена у меня биолог, после новости о том что дрон замочил оператора, говорит, всё, Скайнет? ИИ пороботит человеков?

Говорю нет. 

Во-первых, ИИ - это гуманитарный термин. Интеллект - это обозначение непонимания работы мозга. Пока гуманитарии философствуют, математики занимаются машинным обучением.

Во-вторых. Из сегодняшней истории вывод можно сделать такой. Модель от ситуации + потенциальное действие не штрафовали за ущерб. В оценке инвестиционных проектов, например, финансы, уже сто как подобное просчитывают. А тут просто недодумали... И уже сенсация.

А потом имеем волну этики и прочей эстетики, эротики с моделями на грани физических извращений, лишь бы чего не вышло.

И вот это как бы чего неэтичного не вышло - не то чтобы останавливает прогресс, нет. Душит продукты, но это проблема маркетологов. Как раз матан это развивает - как дополнительные условия в лагранжиане. Как +1 пункт в ТЗ.

Но когда это начнет останавливать матан, это будет беда. Потенциала правда к этому я лично пока не вижу.","Интересные вопросы от conjecture, да😅"
"спасибо, попробую)","Жена у меня биолог, после новости о том что дрон замочил оператора, говорит, всё, Скайнет? ИИ пороботит человеков?

Говорю нет. 

Во-первых, ИИ - это гуманитарный термин. Интеллект - это обозначение непонимания работы мозга. Пока гуманитарии философствуют, математики занимаются машинным обучением.

Во-вторых. Из сегодняшней истории вывод можно сделать такой. Модель от ситуации + потенциальное действие не штрафовали за ущерб. В оценке инвестиционных проектов, например, финансы, уже сто как подобное просчитывают. А тут просто недодумали... И уже сенсация.

А потом имеем волну этики и прочей эстетики, эротики с моделями на грани физических извращений, лишь бы чего не вышло.

И вот это как бы чего неэтичного не вышло - не то чтобы останавливает прогресс, нет. Душит продукты, но это проблема маркетологов. Как раз матан это развивает - как дополнительные условия в лагранжиане. Как +1 пункт в ТЗ.

Но когда это начнет останавливать матан, это будет беда. Потенциала правда к этому я лично пока не вижу.","Интересные вопросы от conjecture, да😅","А есть какие ресерчи, как без итеративных оптимизаций сразу в оптимум весов попасть?

На AI Talks 2020 небезызвестный Ветров говорил, что работы в направлении ведутся.

Я думал-думал как такое возможно вообще. Ну там лосс обсчитывать в разных местах, бутстрапом может, ну как-то глупо все равно.

Вот мысль есть, может где описана (я хз?). Равновесие по Нэшу (в случае взаимодействия весов) при связанной с лоссом функцией награды каждого, в принципе должно давать оптимум (ну как каждый вес не шатай - лосс хуже). Как специфицировать награду, отдельная история, но известно что в непрерывном случае финальный вес каждого пропорционален x' - x, где x' производная по времени ""игры"". В дискретном случае все это очень напоминает SGD.

При некоторых условиях на модуль производной по весам вышеупомянутой разницы (< 1 - eps), равновесие даже существует.

Я не думаю что кто-то это не описал. Но совсем этими автоградами - решение вроде должно быть технически. Что мешает?.."
